PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
Corey Brewer,PF,33,SAC,5,33,,,20%,80%,,8.6,10.8,1,0,3,1,2,1,4,1,0
Mikal Bridges,SF,23,PHO,73,2042,,12%,78%,10%,,3.2,6.5,41,17,87,6,44,26,316,11,33
Miles Bridges,SF,21,CHO,65,1995,,3%,72%,25%,,-9.9,-7.5,47,18,61,15,58,7,285,13,44
Oshae Brissett,SF,21,TOR,19,135,,,73%,26%,1%,15.3,9.0,3,2,9,1,4,0,20,0,5
Ryan Broekhoff,SF,29,DAL,17,180,,4%,76%,21%,,0.9,-4.2,4,2,8,0,3,1,28,0,3
Malcolm Brogdon,PG,27,IND,54,1666,64%,36%,1%,,,2.8,0.8,72,36,42,14,58,9,870,12,53
Dillon Brooks,SG,24,MEM,73,2112,,68%,32%,,,-1.0,-0.6,52,30,119,22,91,19,356,24,38
Bruce Brown,PG,23,DET,58,1634,53%,47%,,,,-3.8,0.6,61,25,85,9,54,9,550,11,43
Charlie Brown Jr.,SG,22,ATL,10,40,10%,57%,33%,,,37.0,45.5,2,0,2,0,3,1,5,1,0
Jaylen Brown,SG,23,BOS,57,1934,,50%,46%,4%,,6.1,-0.8,42,46,65,15,111,8,280,25,66
Moses Brown,C,20,POR,9,33,,,,,100%,-45.7,-45.2,2,0,6,1,4,0,2,0,0
Sterling Brown,SF,24,MIL,52,767,1%,30%,61%,8%,,4.8,-6.6,21,9,27,7,21,2,123,7,30
Troy Brown Jr.,SF,20,WAS,69,1782,,21%,68%,11%,,-6.0,-3.0,38,22,53,10,61,14,421,17,46
Jalen Brunson,PG,23,DAL,57,1022,96%,4%,,,,8.1,4.5,33,16,32,9,30,26,477,12,11
Thomas Bryant,C,22,WAS,46,1147,,,,6%,94%,-7.4,-4.2,17,9,48,18,62,4,189,22,14
Reggie Bullock,SG,28,NYK,29,684,2%,72%,26%,,,-5.4,1.2,10,5,25,1,9,6,96,4,9
Trey Burke,PG,27,TOT,33,520,98%,3%,,,,2.5,-0.7,12,2,10,6,10,3,199,3,15
Trey Burke,PG,27,PHI,25,329,100%,,,,,4.9,2.8,8,0,5,3,5,1,125,2,8
Trey Burke,PG,27,DAL,8,191,93%,7%,,,,-1.5,-6.8,4,2,5,3,5,2,74,1,7
Alec Burks,SF-SG,28,TOT,66,1754,7%,45%,46%,2%,,-6.3,0.0,57,14,48,13,120,18,438,27,43
Alec Burks,SF,28,GSW,48,1390,8%,42%,49%,2%,,-9.2,-0.7,46,14,40,9,101,15,342,20,33
Alec Burks,SG,28,PHI,18,364,5%,54%,38%,3%,,5.0,2.9,11,0,8,4,19,3,96,7,10
,,,,,,,,,,,,,,,,,,,,,
Deonte Burton,SF,26,OKC,39,356,2%,22%,51%,24%,1%,-11.7,-15.0,8,3,18,3,7,1,44,4,7
Jimmy Butler,SF,30,MIA,58,1959,,,64%,36%,,5.8,6.4,77,17,29,19,232,4,851,48,45
Bruno Caboclo,C,24,TOT,30,244,,,,8%,92%,-4.6,-4.8,7,4,20,2,4,3,28,1,5
Bruno Caboclo,C,24,MEM,22,192,,,,10%,90%,-3.1,-2.5,3,2,16,2,2,3,22,1,4
Bruno Caboclo,C,24,HOU,8,52,,,,,100%,-10.2,-13.4,4,2,4,0,2,0,6,0,1
Devontae Cacok,C,23,LAL,1,9,,,,,100%,17.5,11.8,0,0,0,0,0,0,2,0,0
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,,35%,58%,7%,,4.5,-2.6,39,15,65,3,41,21,267,9,15
Vlatko Čančar,PF,22,DEN,14,45,,,20%,43%,37%,-7.6,-10.0,2,0,3,1,1,0,6,0,1
Clint Capela,C,25,HOU,39,1279,,,,,100%,2.4,-1.0,22,22,35,9,54,12,122,16,40
DeMarre Carroll,SF-C,33,TOT,24,290,,,43%,55%,2%,0.5,-0.6,6,5,16,4,20,2,65,2,4
DeMarre Carroll,SF,33,SAS,15,135,,,73%,27%,,7.2,8.7,4,1,8,4,10,0,26,0,2
DeMarre Carroll,C,33,HOU,9,155,,,17%,79%,4%,-5.3,-8.7,2,4,8,0,10,2,39,2,2
Jevon Carter,PG,24,PHO,58,945,100%,,,,,1.2,1.0,15,6,47,3,7,9,201,2,11
Vince Carter,PF,43,ATL,60,876,,,7%,90%,4%,-9.4,-2.0,21,3,44,5,9,4,115,2,6
Wendell Carter Jr.,C,20,CHI,43,1256,,,,,100%,-0.9,4.0,17,23,83,22,66,10,132,10,32
Michael Carter-Williams,SG,28,ORL,45,833,32%,67%,1%,,,1.8,3.7,32,14,33,3,47,32,258,13,20
Alex Caruso,PG,25,LAL,64,1175,53%,46%,1%,,,10.4,7.1,34,15,37,3,34,26,291,9,24
Willie Cauley-Stein,C,26,TOT,54,1097,,,,2%,98%,-5.5,2.0,13,13,67,7,34,4,165,8,18
Willie Cauley-Stein,C,26,GSW,41,940,,,,,100%,-7.1,2.4,12,13,57,5,28,4,141,5,16
Willie Cauley-Stein,C,26,DAL,13,157,,,,15%,85%,4.2,-0.7,1,0,10,2,6,0,24,3,2
Tyson Chandler,C,37,HOU,26,219,,,,,100%,4.7,1.8,1,1,21,4,6,2,13,1,1
Wilson Chandler,PF,32,BRK,35,734,,,19%,78%,3%,-7.0,-8.0,11,7,46,5,9,1,99,2,4
Joe Chealey,PG,24,CHO,4,33,100%,,,,,-22.6,-15.7,1,0,1,0,1,0,2,0,1
Zylan Cheatham,PF,24,NOP,4,51,,,33%,67%,1%,-24.5,-23.5,1,0,5,1,0,0,7,0,0
Chris Chiozza,PG,24,TOT,28,401,100%,,,,,10.7,13.3,23,6,10,2,3,7,208,1,7
Chris Chiozza,PG,24,WAS,10,123,100%,,,,,18.6,24.0,6,3,2,0,0,0,71,0,4
Chris Chiozza,PG,24,BRK,18,278,100%,,,,,7.2,8.5,17,3,8,2,3,7,137,1,3
Marquese Chriss,PF,22,GSW,59,1196,,,,36%,64%,-9.0,-0.2,29,17,57,21,68,7,270,12,23
,,,,,,,,,,,,,,,,,,,,,
Gary Clark,SF-PF,25,TOT,42,567,,,8%,88%,4%,-3.4,-4.4,5,3,29,1,5,3,43,2,1
Gary Clark,PF,25,HOU,18,212,,,4%,86%,10%,3.4,0.5,1,1,16,0,3,0,32,1,1
Gary Clark,SF,25,ORL,24,355,,,10%,89%,1%,-7.5,-7.2,4,2,13,1,2,3,11,1,0
Brandon Clarke,PF,23,MEM,58,1300,,,,80%,20%,-0.2,0.8,21,14,55,12,54,6,182,19,20
Jordan Clarkson,SG,27,TOT,71,1705,5%,82%,13%,,,-0.3,2.0,38,31,44,11,71,4,341,25,52
Jordan Clarkson,SG,27,CLE,29,666,2%,89%,8%,1%,,-6.3,2.2,21,9,12,3,37,1,174,15,22
Jordan Clarkson,SG,27,UTA,42,1039,7%,77%,16%,,,3.6,1.9,17,22,32,8,34,3,167,10,30
Nic Claxton,C,20,BRK,15,187,,,,29%,71%,-17.5,-17.8,0,4,5,4,9,2,37,3,5
Chris Clemons,SG,22,HOU,33,291,82%,18%,,,,-11.0,-15.3,11,2,14,2,2,6,64,0,4
Antonius Cleveland,SG,25,DAL,11,46,6%,26%,68%,,,-9.2,-14.3,1,0,6,0,2,0,2,1,2
Amir Coffey,SG,22,LAC,18,159,,53%,43%,4%,,2.7,-3.9,5,1,12,1,3,0,37,1,4
John Collins,PF,22,ATL,41,1363,,,,53%,47%,-5.6,4.1,22,30,78,17,69,1,144,22,54
Zach Collins,PF,22,POR,11,290,,,,79%,21%,7.3,8.9,5,3,23,4,3,2,34,0,6
Mike Conley,PG,32,UTA,47,1363,100%,,,,,2.0,-0.4,55,23,35,7,57,30,499,12,15
Pat Connaughton,SG,27,MIL,67,1243,7%,57%,35%,2%,,5.1,-7.6,28,17,46,1,17,7,267,6,18
Quinn Cook,PG,26,LAL,44,508,92%,8%,,,,5.0,-1.0,16,11,11,1,7,4,119,2,12
Tyler Cook,PF-SF,22,TOT,13,54,,,21%,20%,59%,-17.6,-13.3,0,2,5,0,4,0,2,0,0
Tyler Cook,PF,22,CLE,11,35,,,,9%,92%,-21.2,-13.3,0,1,4,0,3,0,2,0,0
Tyler Cook,SF,22,DEN,2,19,,,58%,42%,,-11.0,-13.3,0,1,1,0,1,0,0,0,0
Robert Covington,PF-C,29,TOT,70,2137,,,7%,69%,25%,0.2,3.5,43,25,111,13,57,18,217,15,23
Robert Covington,PF,29,MIN,48,1411,,,10%,89%,,-2.5,3.9,32,17,71,7,42,13,132,11,14
Robert Covington,C,29,HOU,22,726,,,,28%,72%,5.3,2.9,11,8,40,6,15,5,85,4,9
Allen Crabbe,SG-SF,27,TOT,37,653,10%,51%,39%,1%,,-16.5,-10.6,5,6,29,2,7,2,81,2,7
Allen Crabbe,SG,27,ATL,28,522,12%,63%,25%,1%,,-15.4,-8.9,3,3,23,2,6,2,68,2,7
Allen Crabbe,SF,27,MIN,9,131,,6%,93%,1%,,-21.1,-17.3,2,3,6,0,1,0,13,0,0
Torrey Craig,SF,29,DEN,58,1072,,22%,73%,5%,,-5.7,-11.3,11,4,77,4,15,5,110,6,10
Jamal Crawford,SG,39,BRK,1,6,,100%,,,,28.6,29.3,0,0,0,0,0,0,7,0,0
Jae Crowder,SF-PF,29,TOT,65,1875,,3%,67%,29%,1%,-2.1,-3.7,40,12,66,10,44,17,373,10,21
Jae Crowder,SF,29,MEM,45,1322,,4%,91%,5%,,-3.5,-4.5,31,11,40,6,32,12,285,7,14
Jae Crowder,PF,29,MIA,20,553,,,8%,87%,5%,1.4,-1.8,9,1,26,4,12,5,88,3,7
Jarrett Culver,SG,20,MIN,63,1506,11%,58%,30%,,,-3.4,2.3,32,20,69,15,55,4,266,10,53
