PLAYER_NAME,POS,AGE,TEAM,GP,MP,PG%,SG%,SF%,PF%,C%,ON-COURT,ON_OFF,BAD_PASS,LOST_BALL,FOUL_SHOOT,OFF_FOUL,FOUL_SHOOT_DRAWN,OFF_FOUL_DRAWN,PGA,AND1,BLKD
D.J. Augustin,PG,34,HOU,34,510,100%,,,,,-13.9,-5.6,33,8,8,1,9,1,181,2,5
D.J. Augustin,PG,34,LAL,21,373,100%,,,,,-8.7,-6.1,11,0,12,0,2,1,84,1,5
Deni Avdija,SF,21,WAS,82,1984,,7%,69%,24%,,-0.7,5.2,55,20,105,4,52,2,387,11,39
,,,,,,,,,,,,,,,,,,,,,
Joel Ayayi,SG,21,WAS,7,20,20%,51%,29%,,,0.2,3.5,0,0,0,0,0,0,11,0,2
Deandre Ayton,C,23,PHO,58,1713,,,,,100%,9.8,3.7,19,34,89,23,71,2,210,17,37
Udoka Azubuike,C,22,UTA,17,195,,,,,100%,-0.1,-6.5,2,2,15,5,5,0,0,3,2
Marvin Bagley III,PF,22,TOT,48,1146,,,,71%,29%,-5.9,0.8,9,5,57,14,55,9,95,19,30
Marvin Bagley III,PF,22,SAC,30,656,,,,78%,22%,-2.9,3.1,4,4,32,7,24,5,45,9,21
Marvin Bagley III,PF,22,DET,18,490,,,,60%,40%,-10.0,-2.2,5,1,25,7,31,4,50,10,9
LaMelo Ball,PG,20,CHO,75,2422,94%,6%,,,,1.2,1.7,156,39,84,17,91,15,1338,23,51
Lonzo Ball,PG,24,CHI,35,1212,82%,18%,,,,2.8,4.5,57,15,41,7,13,4,408,5,18
Mo Bamba,C,23,ORL,71,1824,,,,1%,99%,-9.3,-2.1,30,20,114,14,35,3,206,6,31
Desmond Bane,SG,23,MEM,76,2266,,58%,41%,1%,,7.4,3.8,44,33,92,17,53,2,518,16,68
Dalano Banton,PG,22,TOR,64,696,56%,43%,1%,,,2.0,-0.2,21,14,29,10,20,1,240,4,17
Cat Barber,PG,27,ATL,3,13,100%,,,,,35.7,34.0,0,1,1,0,1,0,8,0,1
Harrison Barnes,PF,29,SAC,77,2587,,,50%,50%,1%,-6.7,-3.6,46,51,42,15,186,18,451,50,48
Scottie Barnes,PF,20,TOR,74,2617,,1%,38%,54%,7%,1.5,-2.0,83,26,81,12,107,16,622,30,38
RJ Barrett,SF,21,NYK,70,2417,,2%,93%,5%,,-2.8,-7.9,83,46,71,11,197,16,496,40,105
Will Barton,SG,31,DEN,71,2277,,65%,34%,1%,,1.8,-1.2,64,45,62,10,59,8,646,11,47
Paris Bass,SF,26,PHO,2,7,,,100%,,,12.5,4.8,1,1,1,0,1,0,0,0,2
Charles Bassey,C,21,PHI,23,168,,,,,100%,-10.6,-13.8,1,4,21,0,7,0,18,2,3
Keita Bates-Diop,SF,26,SAS,59,956,,,18%,78%,4%,1.7,2.2,18,15,29,5,32,1,99,9,26
Nicolas Batum,PF,33,LAC,59,1462,,,,89%,12%,-5.1,-8.3,29,2,27,2,18,11,236,4,6
Kent Bazemore,SF,32,LAL,39,545,,17%,65%,18%,,-9.1,-7.0,15,4,37,1,7,6,82,1,0
Darius Bazley,PF,21,OKC,69,1924,,,16%,77%,7%,-11.5,-6.4,41,36,39,6,94,6,246,20,76
,,,,,,,,,,,,,,,,,,,,,
Bradley Beal,SG,28,WAS,40,1439,16%,83%,1%,,,-3.2,0.1,77,38,50,10,86,17,623,16,34
Malik Beasley,SG,25,MIN,79,1976,15%,76%,10%,,,1.0,-2.9,12,19,47,7,15,5,289,3,34
Jordan Bell,C,27,CHI,1,2,,,,,100%,25.0,25.3,0,0,2,0,0,0,0,0,0
DeAndre' Bembry,SF,27,TOT,56,1026,,16%,66%,19%,,1.4,0.0,18,5,46,5,17,8,157,3,22
DeAndre' Bembry,SF,27,BRK,48,949,,15%,65%,20%,,1.6,0.4,17,5,40,5,17,7,142,3,22
DeAndre' Bembry,SF,27,MIL,8,77,,30%,67%,3%,,-1.2,-4.5,1,0,6,0,0,1,15,0,0
Dāvis Bertāns,PF,29,TOT,56,807,,,,76%,24%,1.3,2.1,12,4,41,3,9,6,75,2,3
Dāvis Bertāns,PF,29,WAS,34,501,,,,81%,20%,-4.9,-1.9,8,4,28,2,6,4,37,1,0
Dāvis Bertāns,PF,29,DAL,22,306,,,,68%,32%,11.6,8.8,4,0,13,1,3,2,38,1,3
Patrick Beverley,PG,33,MIN,58,1476,96%,4%,,,,3.7,2.1,50,9,67,7,44,31,648,9,23
Saddiq Bey,SF,22,DET,82,2704,,7%,59%,34%,,-9.5,-4.7,46,14,44,18,117,5,561,26,52
Khem Birch,C,29,TOR,55,991,,,,,100%,0.1,-2.7,10,6,50,11,34,3,139,9,12
Goga Bitadze,C,22,IND,50,729,,,,,100%,-3.1,1.2,15,12,52,12,47,3,132,15,24
Bismack Biyombo,C,29,PHO,36,506,,,,5%,95%,4.6,-3.7,6,5,41,9,30,0,55,9,7
Nemanja Bjelica,C,33,GSW,71,1142,,,,,100%,4.9,-1.2,41,22,69,14,34,0,381,7,19
Eric Bledsoe,PG,32,LAC,54,1361,100%,,,,,-1.4,-2.3,66,35,25,10,61,23,550,23,19
Keljin Blevins,SF,26,POR,31,349,,17%,40%,43%,,-27.8,-20.8,6,9,19,1,2,0,48,0,6
Bogdan Bogdanović,SG,29,ATL,63,1848,1%,73%,26%,,,5.2,6.3,42,17,43,3,43,5,452,7,26
Bojan Bogdanović,PF,32,UTA,69,2131,,,5%,94%,1%,4.8,-2.8,45,48,39,11,94,5,306,20,61
Bol Bol,PF,22,DEN,14,81,,,,12%,88%,1.7,-0.6,0,1,4,0,2,0,12,1,1
Leandro Bolmaro,SF,21,MIN,35,241,,30%,56%,15%,,0.4,-2.2,8,1,8,1,3,2,49,1,1
Isaac Bonga,SF,22,TOR,15,69,,28%,57%,16%,,-20.3,-22.9,1,1,4,0,3,0,11,0,2
Devin Booker,SG,25,PHO,68,2345,4%,81%,15%,,,9.7,4.8,96,37,79,16,136,9,788,39,59
Brandon Boston Jr.,SG,20,LAC,51,760,12%,41%,45%,2%,,-2.2,-2.9,10,9,20,0,30,2,120,5,26
,,,,,,,,,,,,,,,,,,,,,
Chris Boucher,SF,29,TOR,80,1690,1%,24%,46%,26%,4%,5.7,6.0,11,13,120,7,91,22,64,21,43
James Bouknight,SG,21,CHO,31,304,30%,58%,12%,,,-7.7,-8.9,3,6,12,2,12,4,62,2,17
Avery Bradley,SG,31,LAL,62,1406,17%,79%,3%,,,-4.8,-2.5,23,7,44,3,6,11,111,1,19
Tony Bradley,C,24,CHI,55,549,,,,,100%,7.8,9.5,5,11,28,17,16,4,66,3,18
Ignas Brazdeikis,SF,23,ORL,42,536,2%,24%,61%,13%,,-15.8,-8.8,8,2,27,3,14,5,93,2,12
Mikal Bridges,SF,25,PHO,82,2854,,8%,88%,3%,,10.4,9.5,40,18,66,5,85,19,437,29,29
Miles Bridges,PF,23,CHO,80,2837,,,21%,69%,10%,2.2,5.8,76,40,90,19,161,18,754,38,62
Oshae Brissett,SF,23,IND,67,1564,,,20%,75%,5%,-5.9,-3.1,23,15,48,9,82,10,181,18,30
Malcolm Brogdon,PG,29,IND,36,1206,60%,38%,3%,,,-1.4,3.8,49,15,28,8,57,7,514,10,39
Armoni Brooks,SG-PG,23,TOT,54,844,61%,36%,3%,,,-6.2,1.1,12,7,46,1,9,4,149,3,4
Armoni Brooks,SG,23,HOU,41,690,58%,39%,3%,,,-6.4,3.1,10,7,35,1,8,3,115,3,4
Armoni Brooks,PG,23,TOR,13,154,75%,25%,,,,-5.2,-7.7,2,0,11,0,1,1,34,0,0
Dillon Brooks,SF,26,MEM,32,885,,13%,84%,3%,,11.5,7.4,10,24,46,8,50,18,199,14,27
Bruce Brown,SF,25,BRK,72,1774,,26%,65%,9%,,0.5,-1.6,26,16,93,9,70,6,364,22,38
Charlie Brown Jr.,SG,24,TOT,22,177,5%,57%,38%,1%,,-0.6,-3.2,4,1,11,0,4,0,15,2,5
Charlie Brown Jr.,SG,24,DAL,3,15,,35%,51%,14%,,-86.4,-90.3,0,0,1,0,0,0,2,0,0
Charlie Brown Jr.,SG,24,PHI,19,162,5%,59%,36%,,,7.4,4.9,4,1,10,0,4,0,13,2,5
Chaundee Brown Jr.,SG-SF,23,TOT,5,104,,34%,61%,5%,,-7.7,-8.7,0,1,4,0,2,1,9,0,3
Chaundee Brown Jr.,SF,23,LAL,2,21,,4%,71%,25%,,-2.3,0.9,0,1,0,0,0,1,0,0,1
Chaundee Brown Jr.,SG,23,ATL,3,83,1%,41%,59%,,,-9.1,-11.2,0,0,4,0,2,0,9,0,2
Greg Brown III,SF,20,POR,48,640,,,5%,86%,9%,-17.3,-10.1,8,13,42,4,31,8,84,5,18
Jaylen Brown,SF,25,BOS,66,2220,,45%,47%,8%,,10.1,5.4,74,66,68,18,151,13,566,37,96
Moses Brown,C,22,TOT,40,345,,,,1%,99%,-6.9,-10.2,2,4,34,6,32,0,2,4,6
Moses Brown,C,22,DAL,26,169,,,,2%,98%,0.6,-3.1,1,2,14,6,18,0,2,3,5
Moses Brown,C,22,CLE,14,176,,,,,100%,-14.1,-17.0,1,2,20,0,14,0,0,1,1
Sterling Brown,SG,26,DAL,49,628,,15%,58%,28%,,1.8,-2.1,9,9,26,2,6,1,83,1,13
Troy Brown Jr.,SF,22,CHI,66,1055,,11%,57%,32%,,-1.4,-1.4,14,8,33,1,14,4,160,5,25
Jalen Brunson,SG,25,DAL,79,2524,43%,57%,,,,4.4,2.3,71,29,60,14,83,44,945,26,38
,,,,,,,,,,,,,,,,,,,,,
Thomas Bryant,C,24,WAS,27,439,,,,,100%,-9.1,-6.6,9,1,29,6,19,0,52,4,7
Shaq Buchanan,SG,25,MEM,2,10,,100%,,,,-8.7,-14.5,1,0,1,0,0,0,4,0,1
Reggie Bullock,SF,30,DAL,68,1902,,11%,65%,24%,,7.4,7.4,24,6,44,4,11,5,200,4,16
Trey Burke,PG,29,DAL,42,441,100%,,,,,-1.3,-5.4,15,7,21,3,8,4,135,0,6
Alec Burks,SG,30,NYK,81,2318,35%,35%,30%,,,3.0,6.6,56,20,95,11,112,23,579,25,28
Jared Butler,SG,21,UTA,42,360,60%,38%,2%,,,-0.2,-6.9,16,14,22,2,5,0,154,1,5
Jimmy Butler,SF,32,MIA,57,1931,,,67%,32%,,5.8,2.3,66,32,29,17,202,14,786,38,36
Devontae Cacok,PF,25,SAS,15,121,,,,93%,7%,-2.6,-2.8,2,0,11,1,3,0,13,1,2
Kentavious Caldwell-Pope,SG,28,WAS,77,2329,1%,51%,48%,,,-4.5,-3.1,50,37,67,6,62,30,327,15,23
Facundo Campazzo,PG,30,DEN,65,1184,100%,,,,,-8.4,-15.2,51,8,41,6,21,27,543,4,9
Vlatko Čančar,PF,24,DEN,15,176,,3%,13%,58%,26%,-0.1,-2.6,5,2,11,2,6,2,44,0,3
Devin Cannady,PG,25,ORL,5,145,100%,,,,,-3.3,5.1,3,1,3,1,1,0,25,0,3
Clint Capela,C,27,ATL,74,2042,,,,,100%,3.7,3.9,15,14,88,7,86,15,222,19,38
Vernon Carey Jr.,C,20,TOT,7,44,,,,23%,77%,-48.6,-47.1,1,1,3,1,7,0,0,3,0
Vernon Carey Jr.,C,20,CHO,4,17,,,,34%,66%,-56.1,-56.8,1,0,1,0,2,0,0,1,0
Vernon Carey Jr.,C,20,WAS,3,27,,,,17%,83%,-44.0,-41.0,0,1,2,1,5,0,0,2,0
Jevon Carter,PG,26,TOT,66,905,100%,,,,,-1.6,-4.2,24,5,30,1,2,1,226,0,6
Jevon Carter,PG,26,BRK,46,552,100%,,,,,-1.0,-2.7,17,4,18,1,2,1,110,0,4
Jevon Carter,PG,26,MIL,20,353,100%,,,,,-2.7,-6.4,7,1,12,0,0,0,116,0,2
Wendell Carter Jr.,PF,22,ORL,62,1852,,,,63%,37%,-3.5,8.8,45,33,80,26,96,2,414,24,35
Alex Caruso,SG,27,CHI,41,1147,37%,60%,3%,,,4.9,7.4,39,14,54,2,30,30,383,7,18
Willie Cauley-Stein,C,28,TOT,20,183,,,,,100%,6.1,2.7,2,2,13,2,1,0,25,0,6
Willie Cauley-Stein,C,28,DAL,18,177,,,,,100%,5.2,1.7,2,2,11,2,1,0,23,0,6
Willie Cauley-Stein,C,28,PHI,2,6,,,,,100%,33.3,30.7,0,0,2,0,0,0,2,0,0
Ahmad Caver,SG,25,IND,1,1,,100%,,,,100.0,104.1,0,0,0,0,0,0,0,0,0
Justin Champagnie,SF,20,TOR,36,281,9%,54%,36%,,,8.1,6.4,1,2,15,1,4,1,28,1,4
,,,,,,,,,,,,,,,,,,,,,
Zylan Cheatham,SF,26,UTA,1,5,,,,100%,,-118.2,-124.4,0,0,0,0,0,0,0,0,0
Chris Chiozza,PG,26,GSW,34,372,100%,,,,,-7.1,-14.1,18,11,16,1,1,8,158,1,6
Marquese Chriss,PF,24,DAL,34,346,,,2%,31%,67%,-4.0,-8.3,4,3,36,9,14,2,42,3,20
Josh Christopher,SG,20,HOU,74,1334,11%,59%,28%,1%,,-10.5,-2.3,55,36,42,6,47,7,361,10,34
Gary Clark,PF,27,NOP,38,378,,,30%,67%,3%,0.0,1.2,6,2,11,0,4,3,46,0,6
Brandon Clarke,PF,25,MEM,64,1246,,,17%,82%,1%,8.0,3.2,6,10,59,12,61,4,206,21,26
Jordan Clarkson,SG,29,UTA,79,2141,1%,87%,12%,,,8.2,4.7,52,48,45,11,75,8,476,27,40
Nic Claxton,C,22,BRK,47,974,,,,7%,93%,0.7,-0.9,7,12,59,12,48,5,104,15,20
Amir Coffey,SG,24,LAC,69,1567,3%,53%,39%,5%,,-0.5,-1.1,18,16,41,4,57,11,307,14,28
John Collins,PF,24,ATL,54,1663,,,,94%,6%,1.0,-1.4,26,12,86,13,68,18,224,17,38
Zach Collins,C,24,SAS,28,502,,,,16%,84%,2.2,2.4,19,13,47,9,23,3,134,4,16
Darren Collison,PG,34,LAL,3,37,100%,,,,,-21.7,-18.8,1,0,5,0,0,0,4,0,0
Mike Conley,PG,34,UTA,72,2058,100%,,,,,7.7,3.3,87,25,49,2,53,21,923,12,28
Pat Connaughton,SF,29,MIL,65,1691,1%,28%,58%,13%,,-1.0,-7.2,21,8,46,4,20,17,202,5,14
Tyler Cook,PF,24,CHI,20,200,,,,25%,75%,-7.9,-7.9,1,1,15,5,14,8,8,1,6
Sharife Cooper,PG,20,ATL,13,39,99%,1%,,,,-42.5,-44.8,2,2,0,0,0,0,12,0,3
Petr Cornelie,PF,26,DEN,13,38,,,,78%,22%,6.0,3.7,3,0,5,1,0,0,8,0,1
DeMarcus Cousins,C,31,TOT,48,718,,,,1%,99%,2.2,-0.7,37,13,69,27,59,11,179,18,26
DeMarcus Cousins,C,31,MIL,17,287,,,,,100%,9.3,6.6,10,1,24,4,21,5,47,12,10
DeMarcus Cousins,C,31,DEN,31,431,,,,1%,99%,-2.6,-5.5,27,12,45,23,38,6,132,6,16
Robert Covington,PF,31,TOT,71,1940,,1%,9%,84%,7%,1.0,10.7,43,13,99,14,23,9,229,2,28
Robert Covington,PF,31,POR,48,1431,,,1%,90%,9%,-2.2,10.4,31,13,67,9,11,8,172,1,18
Robert Covington,PF,31,LAC,23,509,,4%,29%,66%,1%,10.2,11.5,12,0,32,5,12,1,57,1,10
Torrey Craig,SF,31,TOT,78,1596,,1%,19%,72%,8%,-4.5,-5.8,35,19,73,4,25,13,223,8,14
Torrey Craig,SF,31,IND,51,1034,,,5%,83%,12%,-7.7,-4.9,19,11,45,3,16,10,146,5,10
Torrey Craig,SF,31,PHO,27,562,,3%,46%,51%,,1.5,-7.3,16,8,28,1,9,3,77,3,4
,,,,,,,,,,,,,,,,,,,,,
Jae Crowder,PF,31,PHO,67,1886,,,15%,84%,,10.6,5.4,34,8,91,10,36,8,294,10,6
Jarrett Culver,SG,22,MEM,37,338,4%,71%,26%,,,-2.7,-9.3,8,6,21,4,17,0,75,4,9
Jarron Cumberland,SG,24,POR,3,12,33%,39%,28%,,,30.5,39.5,0,0,0,0,0,0,2,0,0
Cade Cunningham,SG,20,DET,64,2088,1%,56%,41%,2%,,-6.8,2.7,123,67,93,25,61,5,837,14,77
Seth Curry,SG,31,TOT,64,2135,23%,74%,4%,,,3.7,1.6,59,22,45,7,24,15,547,11,13
Seth Curry,SG,31,PHI,45,1566,29%,71%,1%,,,2.8,0.1,47,18,32,5,20,11,435,9,9
Seth Curry,SG,31,BRK,19,569,6%,82%,12%,,,6.3,5.8,12,4,13,2,4,4,112,2,4
Stephen Curry,PG,33,GSW,64,2211,97%,3%,,,,10.1,10.0,120,52,52,16,105,13,945,25,39
Anthony Davis,C,28,LAL,40,1404,,,,24%,76%,-3.2,-0.2,31,34,58,11,92,5,309,26,19
Ed Davis,C,32,CLE,31,201,,,,41%,60%,2.8,0.7,2,0,23,3,4,0,17,0,1
Terence Davis,SG,24,SAC,30,536,,47%,51%,3%,,5.6,12.8,16,5,34,5,19,2,92,8,14
Gabriel Deck,PF,26,OKC,7,56,,,14%,72%,14%,-12.2,-3.9,2,0,1,0,0,0,13,0,0
Dewayne Dedmon,C,32,MIA,67,1065,,,,,100%,3.1,-2.0,11,12,78,35,39,17,114,7,23
Sam Dekker,PF,27,TOR,1,1,,,,,100%,-250.0,-252.2,0,0,0,0,0,0,0,0,0
Javin DeLaurier,C,23,MIL,1,3,,,,,100%,85.7,82.6,0,0,1,0,0,0,0,0,0
DeMar DeRozan,PF,32,CHI,76,2743,,,11%,81%,8%,1.2,5.1,86,61,89,18,287,12,948,74,84
Mamadi Diakite,PF,25,OKC,13,188,,,,10%,90%,-5.8,2.6,1,1,18,4,5,2,5,1,5
Cheick Diallo,C,25,DET,3,31,,,,,100%,-45.3,-37.6,0,0,3,1,3,0,0,0,1
Hamidou Diallo,SG,23,DET,58,1269,,57%,40%,3%,,-8.2,-0.2,26,15,70,6,77,10,184,22,25
Gorgui Dieng,C,32,ATL,44,371,,,,,100%,-8.4,-11.3,6,1,24,5,13,4,82,4,5
Spencer Dinwiddie,PG,28,TOT,67,1980,43%,37%,19%,,,-0.9,0.0,70,14,58,14,119,15,824,26,40
Spencer Dinwiddie,PG,28,WAS,44,1330,64%,36%,,,,-4.1,-1.3,48,10,40,11,63,7,604,12,26
Spencer Dinwiddie,PG,28,DAL,23,650,,40%,59%,1%,,5.7,2.6,22,4,18,3,56,8,220,14,14
Donte DiVincenzo,SG,25,TOT,42,1006,8%,69%,22%,1%,,-4.8,-2.4,41,26,35,4,19,16,269,2,11
Donte DiVincenzo,SG,25,MIL,17,341,15%,76%,9%,,,-5.6,-9.6,13,11,14,3,5,4,67,1,6
Donte DiVincenzo,SG,25,SAC,25,665,5%,66%,28%,2%,,-4.3,1.3,28,15,21,1,14,12,202,1,5
,,,,,,,,,,,,,,,,,,,,,
Luka Dončić,PG,22,DAL,65,2301,97%,3%,,,,3.6,0.2,187,67,59,18,216,5,1381,55,44
Luguentz Dort,SG,22,OKC,51,1665,14%,74%,12%,,,-8.4,-0.3,37,23,58,17,80,41,217,14,48
Ayo Dosunmu,SG,22,CHI,77,2110,25%,63%,12%,,,-4.4,-8.7,62,25,81,6,35,5,578,12,35
Damyean Dotson,SG,27,NYK,2,21,30%,70%,,,,8.3,8.1,0,0,0,0,0,0,2,0,1
Devon Dotson,PG,22,CHI,11,85,100%,,,,,0.2,0.5,3,0,4,1,3,2,38,1,2
Sekou Doumbouya,PF,21,LAL,2,16,,,,100%,,65.5,68.9,0,2,1,0,1,0,0,0,1
Jeff Dowtin,PG,24,TOT,9,108,87%,13%,,,,-12.4,-8.3,4,1,2,0,0,1,27,0,0
Jeff Dowtin,PG,24,GSW,4,28,100%,,,,,28.3,22.7,0,1,0,0,0,0,7,0,0
Jeff Dowtin,PG,24,MIL,1,3,100%,,,,,-80.0,-83.2,0,0,0,0,0,0,0,0,0
Jeff Dowtin,PG,24,ORL,4,77,82%,18%,,,,-24.5,-16.6,4,0,2,0,0,1,20,0,0
PJ Dozier,SG,25,DEN,18,340,,16%,60%,25%,,-12.6,-16.3,10,1,16,0,7,5,70,1,5
Goran Dragić,PG,35,TOT,21,498,66%,34%,,,,-0.2,-1.7,17,9,15,3,9,9,202,1,9
Goran Dragić,PG,35,TOR,5,90,61%,39%,,,,-12.9,-15.4,0,1,2,0,2,1,23,0,2
Goran Dragić,PG,35,BRK,16,408,67%,33%,,,,2.6,1.4,17,8,13,3,7,8,179,1,7
Andre Drummond,C,28,TOT,73,1437,,,,1%,99%,2.5,0.2,47,20,103,31,72,3,315,24,47
Andre Drummond,C,28,PHI,49,902,,,,1%,99%,0.8,-2.5,35,13,66,19,34,3,230,10,23
Andre Drummond,C,28,BRK,24,535,,,,,100%,5.6,4.9,12,7,37,12,38,0,85,14,24
Chris Duarte,SG,24,IND,55,1541,19%,61%,19%,,,-2.2,3.0,45,21,35,8,53,6,265,10,37
David Duke Jr.,PG,22,BRK,22,341,61%,39%,,,,-1.4,-3.1,4,1,16,1,8,1,39,1,11
Kris Dunn,PG,27,POR,14,336,72%,28%,,,,-12.3,-3.7,16,12,17,1,10,0,188,4,11
Kevin Durant,PF,33,BRK,55,2047,,,7%,89%,4%,7.0,11.9,101,63,60,17,139,5,815,28,38
Jaime Echenique,C,24,WAS,1,3,,,,,100%,-25.0,-21.7,0,0,0,0,0,0,0,0,0
Anthony Edwards,SG,20,MIN,72,2466,2%,25%,70%,4%,,3.7,3.4,88,61,60,17,127,4,703,32,46
Carsen Edwards,SG,23,DET,4,79,19%,69%,12%,,,-8.8,-0.8,3,0,2,0,1,0,34,1,5
Kessler Edwards,SF,21,BRK,48,987,,3%,42%,53%,2%,-1.9,-4.4,19,12,44,2,11,2,80,5,19
Rob Edwards,SG,25,OKC,2,11,19%,17%,64%,,,-51.7,-43.5,1,0,0,0,0,0,0,0,0
CJ Elleby,SF,21,POR,58,1174,,6%,60%,33%,1%,-14.8,-8.4,35,17,57,3,41,6,200,8,12
,,,,,,,,,,,,,,,,,,,,,
Wayne Ellington,SG,34,LAL,43,810,10%,45%,43%,3%,,-3.9,-1.0,16,1,22,1,1,5,73,0,4
Joel Embiid,C,27,PHI,68,2297,,,,,100%,7.5,11.5,82,83,92,29,371,2,699,85,82
James Ennis III,SF,31,TOT,7,56,,,32%,68%,,0.8,-0.2,0,2,3,0,3,0,9,1,1
James Ennis III,SF,31,BRK,2,14,,,11%,89%,,33.0,31.8,0,0,0,0,0,0,0,0,0
James Ennis III,SF,31,LAC,2,28,,,42%,58%,,0.4,0.3,0,1,2,0,2,0,0,0,0
James Ennis III,SF,31,DEN,3,14,,,31%,69%,,-30.8,-33.2,0,1,1,0,1,0,9,1,1
Drew Eubanks,C,24,TOT,71,1245,,,,3%,97%,-12.9,-9.8,30,14,58,22,57,12,210,11,26
Drew Eubanks,C,24,SAS,49,595,,,,6%,94%,-5.4,-6.4,17,7,29,14,32,4,124,7,17
Drew Eubanks,C,24,POR,22,650,,,,,100%,-19.7,-12.9,13,7,29,8,25,8,86,4,9
Tacko Fall,C,26,CLE,11,59,,,,,100%,-0.3,-2.4,0,3,3,0,4,0,5,1,1
Derrick Favors,C,30,OKC,39,653,,,,,100%,-9.1,-0.9,3,3,38,0,13,3,64,1,7
Bruno Fernando,C,23,TOT,30,152,,,,5%,96%,-8.5,-6.0,3,3,11,6,11,0,16,6,7
Bruno Fernando,C,23,BOS,20,58,,,,12%,88%,-18.8,-26.9,0,1,2,2,2,0,10,1,2
Bruno Fernando,C,23,HOU,10,94,,,,,100%,-2.2,7.0,3,2,9,4,9,0,6,5,5
Dorian Finney-Smith,PF,28,DAL,80,2644,,,33%,65%,2%,4.9,3.8,41,11,80,10,36,5,364,7,24
Malik Fitts,PF,24,TOT,15,63,,,,79%,21%,-13.0,-20.0,1,0,3,0,0,0,13,0,2
Malik Fitts,PF,24,UTA,7,35,,,,67%,33%,-39.2,-45.7,1,0,2,0,0,0,0,0,1
Malik Fitts,PF,24,BOS,8,28,,,,94%,6%,19.8,12.1,0,0,1,0,0,0,13,0,1
Malachi Flynn,PG,23,TOR,44,537,100%,,,,,-2.1,-5.0,10,1,21,2,9,3,174,3,10
Bryn Forbes,SG,28,TOT,75,1286,15%,79%,7%,,,0.3,-1.1,24,17,46,7,36,3,183,8,29
Bryn Forbes,SG,28,SAS,40,676,28%,70%,2%,,,-3.8,-4.8,15,7,16,5,18,3,92,3,16
Bryn Forbes,SG,28,DEN,35,610,1%,88%,12%,,,4.8,2.9,9,10,30,2,18,0,91,5,13
Aleem Ford,SF,24,ORL,5,74,,11%,44%,33%,11%,-21.2,-13.2,0,2,3,1,0,1,4,0,1
Trent Forrest,PG,23,UTA,60,765,85%,15%,,,,6.2,0.2,29,7,21,3,23,0,262,6,12
