SEASON,PLAYER_NAME,TEAM_ID,POS_EST
2013-14,Derrick Favors,1610612762.0,4.66
2013-14,Carrick Felix,1610612739.0,2.38
2013-14,Raymond Felton,1610612752.0,1.0
2013-14,Landry Fields,1610612761.0,3.1
2013-14,Derek Fisher,1610612760.0,1.67
2013-14,Evan Fournier,1610612743.0,2.34
2013-14,Randy Foye,1610612743.0,1.94
2013-14,Jamaal Franklin,1610612763.0,1.48
2013-14,Jimmer Fredette,,1.32
2013-14,Jimmer Fredette,1610612758.0,1.3
2013-14,Jimmer Fredette,1610612741.0,1.5
2013-14,Enes Freedom,1610612762.0,4.97
2013-14,Joel Freeland,1610612757.0,4.93
2013-14,Channing Frye,1610612756.0,4.41
2013-14,Francisco Garcia,1610612745.0,2.67
2013-14,Kevin Garnett,1610612751.0,4.7
2013-14,Diante Garrett,1610612762.0,1.18
2013-14,Marc Gasol,1610612763.0,4.93
2013-14,Pau Gasol,1610612747.0,4.87
2013-14,Rudy Gay,,3.4
2013-14,Rudy Gay,1610612761.0,3.25
2013-14,Rudy Gay,1610612758.0,3.45
2013-14,Alonzo Gee,1610612739.0,2.96
2013-14,Paul George,1610612754.0,2.9
2013-14,Taj Gibson,1610612741.0,4.0
2013-14,Manu Ginobili,1610612759.0,2.02
2013-14,Rudy Gobert,1610612762.0,5.0
2013-14,Ryan Gomes,1610612760.0,3.07
2013-14,Drew Gooden,1610612764.0,4.75
2013-14,Archie Goodwin,1610612756.0,2.01
2013-14,Ben Gordon,1610612766.0,2.0
2013-14,Eric Gordon,1610612740.0,2.02
2013-14,Marcin Gortat,1610612764.0,5.0
2013-14,Danny Granger,,3.05
2013-14,Danny Granger,1610612754.0,3.04
2013-14,Danny Granger,1610612746.0,3.1
2013-14,Aaron Gray,,5.0
2013-14,Aaron Gray,1610612761.0,5.0
2013-14,Aaron Gray,1610612758.0,5.0
2013-14,Danny Green,1610612759.0,2.3
2013-14,Draymond Green,1610612744.0,3.29
2013-14,Gerald Green,1610612756.0,2.22
2013-14,Jeff Green,1610612738.0,3.06
2013-14,Willie Green,1610612746.0,1.82
2013-14,Blake Griffin,1610612746.0,4.09
2013-14,Jorge Gutierrez,1610612751.0,1.0
2013-14,Jordan Hamilton,,2.79
2013-14,Jordan Hamilton,1610612743.0,2.75
2013-14,Jordan Hamilton,1610612745.0,2.83
2013-14,Justin Hamilton,,5.0
2013-14,Justin Hamilton,1610612766.0,5.0
2013-14,Justin Hamilton,1610612748.0,5.0
2013-14,Tyler Hansbrough,1610612761.0,4.76
2013-14,Tim Hardaway Jr.,1610612752.0,2.11
2013-14,James Harden,1610612745.0,2.04
2013-14,Maurice Harkless,1610612753.0,3.12
2013-14,Josh Harrellson,1610612765.0,4.77
2013-14,Al Harrington,1610612764.0,4.06
2013-14,Devin Harris,1610612742.0,1.08
2013-14,Elias Harris,1610612747.0,3.66
2013-14,Manny Harris,1610612747.0,1.63
2013-14,Mike Harris,1610612762.0,3.77
