SEASON,PLAYER_ID,AGE,EXP
2015-16,1626162.0,20.0,0.0
2022-23,1626162.0,27.0,7.0
2021-22,1629308.0,29.0,2.0
2020-21,1629308.0,28.0,1.0
2019-20,1629308.0,27.0,0.0
2022-23,1629308.0,30.0,3.0
2022-23,1629308.0,30.0,3.0
2021-22,1629162.0,26.0,2.0
2020-21,1629162.0,25.0,1.0
2019-20,1629162.0,24.0,0.0
2022-23,1629162.0,27.0,3.0
2021-22,203903.0,29.0,7.0
2020-21,203903.0,28.0,6.0
2019-20,203903.0,27.0,5.0
2019-20,203903.0,27.0,5.0
2018-19,203903.0,26.0,4.0
2017-18,203903.0,25.0,3.0
2017-18,203903.0,25.0,3.0
2016-17,203903.0,24.0,2.0
2015-16,203903.0,23.0,1.0
2014-15,203903.0,22.0,0.0
2022-23,203903.0,30.0,8.0
2021-22,1626166.0,27.0,6.0
2020-21,1626166.0,26.0,5.0
2019-20,1626166.0,25.0,4.0
2018-19,1626166.0,24.0,3.0
2018-19,1626166.0,24.0,3.0
2017-18,1626166.0,23.0,2.0
2016-17,1626166.0,22.0,1.0
2016-17,1626166.0,22.0,1.0
2015-16,1626166.0,21.0,0.0
2022-23,1626166.0,28.0,7.0
2021-22,1630228.0,19.0,0.0
2022-23,1630228.0,20.0,1.0
2019-20,1628371.0,22.0,2.0
2018-19,1628371.0,21.0,1.0
2017-18,1628371.0,20.0,0.0
2022-23,1628371.0,25.0,3.0
2021-22,202685.0,30.0,9.0
2020-21,202685.0,29.0,8.0
2019-20,202685.0,28.0,7.0
2018-19,202685.0,27.0,6.0
2018-19,202685.0,27.0,6.0
2017-18,202685.0,26.0,5.0
2016-17,202685.0,25.0,4.0
2015-16,202685.0,24.0,3.0
2014-15,202685.0,23.0,2.0
2013-14,202685.0,22.0,1.0
2022-23,202685.0,31.0,10.0
2022-23,1630548.0,22.0,0.0
2021-22,1627747.0,27.0,5.0
2021-22,1627747.0,27.0,5.0
2020-21,1627747.0,26.0,4.0
2020-21,1627747.0,26.0,4.0
2019-20,1627747.0,25.0,3.0
2018-19,1627747.0,24.0,2.0
2017-18,1627747.0,23.0,1.0
2016-17,1627747.0,22.0,0.0
2022-23,1627747.0,28.0,6.0
2022-23,1631098.0,21.0,0.0
