PLAYER_NAME,FIRST_NAME,LAST_NAME,PLAYER_ID
Aron Baynes,Aron,Baynes,203382
Manu Ginobili,Manu,Ginobili,1938
Tim Duncan,Tim,Duncan,1495
Tiago Splitter,Tiago,Splitter,201168
Austin Daye,Austin,Daye,201948
Boris Diaw,Boris,Diaw,2564
Russell Westbrook,Russell,Westbrook,201566
Caron Butler,Caron,Butler,2406
Perry Jones III,Perry,Jones III,203103
Nick Collison,Nick,Collison,2555
Kendrick Perkins,Kendrick,Perkins,2570
Derek Fisher,Derek,Fisher,965
Grant Jerrett,Grant,Jerrett,203511
Serge Ibaka,Serge,Ibaka,201586
Jeremy Lamb,Jeremy,Lamb,203087
Steven Adams,Steven,Adams,203500
Reggie Jackson,Reggie,Jackson,202704
Andre Roberson,Andre,Roberson,203460
Thabo Sefolosha,Thabo,Sefolosha,200757
Hasheem Thabeet,Hasheem,Thabeet,201934
Kevin Durant,Kevin,Durant,201142
Landry Fields,Landry,Fields,202361
Nando De Colo,Nando,De Colo,201986
Kyle Lowry,Kyle,Lowry,200768
DeMar DeRozan,DeMar,DeRozan,201942
Dwight Buycks,Dwight,Buycks,202779
Amir Johnson,Amir,Johnson,101161
Steve Novak,Steve,Novak,200779
Jonas Valanciunas,Jonas,Valanciunas,202685
Greivis Vasquez,Greivis,Vasquez,202349
John Salmons,John,Salmons,2422
Terrence Ross,Terrence,Ross,203082
Chuck Hayes,Chuck,Hayes,101236
Tyler Hansbrough,Tyler,Hansbrough,201946
Patrick Patterson,Patrick,Patterson,202335
Julyan Stone,Julyan,Stone,202933
Enes Freedom,Enes,Freedom,202683
Marvin Williams,Marvin,Williams,101107
Trey Burke,Trey,Burke,203504
John Lucas III,John,Lucas III,101249
Diante Garrett,Diante,Garrett,203197
Alec Burks,Alec,Burks,202692
Derrick Favors,Derrick,Favors,202324
Gordon Hayward,Gordon,Hayward,202330
Ian Clark,Ian,Clark,203546
Malcolm Thomas,Malcolm,Thomas,202952
Richard Jefferson,Richard,Jefferson,2210
Brandon Rush,Brandon,Rush,201575
Rudy Gobert,Rudy,Gobert,203497
Erik Murphy,Erik,Murphy,203513
Jeremy Evans,Jeremy,Evans,202379
James Johnson,James,Johnson,201949
Courtney Lee,Courtney,Lee,201584
Tony Allen,Tony,Allen,2754
Mike Conley,Mike,Conley,201144
Nick Calathes,Nick,Calathes,201979
Mike Miller,Mike,Miller,2034
Beno Udrih,Beno,Udrih,2757
Quincy Pondexter,Quincy,Pondexter,202347
Tayshaun Prince,Tayshaun,Prince,2419
Jamaal Franklin,Jamaal,Franklin,203479
Jon Leuer,Jon,Leuer,202720
Ed Davis,Ed,Davis,202334
Marc Gasol,Marc,Gasol,201188
Kosta Koufos,Kosta,Koufos,201585
Zach Randolph,Zach,Randolph,2216
Trevor Ariza,Trevor,Ariza,2772
John Wall,John,Wall,202322
Bradley Beal,Bradley,Beal,203078
Marcin Gortat,Marcin,Gortat,101162
Al Harrington,Al,Harrington,1733
Martell Webster,Martell,Webster,101110
Kevin Seraphin,Kevin,Seraphin,202338
Glen Rice,Glen,Rice,203318
Garrett Temple,Garrett,Temple,202066
Otto Porter Jr.,Otto,Porter Jr.,203490
Andre Miller,Andre,Miller,1889
Chris Singleton,Chris,Singleton,202698
Trevor Booker,Trevor,Booker,202344
Nene,,Nene,2403
Drew Gooden,Drew,Gooden,2400
Andre Drummond,Andre,Drummond,203083
Chauncey Billups,Chauncey,Billups,1497
Rodney Stuckey,Rodney,Stuckey,201155
Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,203484
Josh Smith,Josh,Smith,2746
Brandon Jennings,Brandon,Jennings,201943
Tony Mitchell,Tony,Mitchell,203502
Greg Monroe,Greg,Monroe,202328
Will Bynum,Will,Bynum,101198
Gigi Datome,Gigi,Datome,203540
Kyle Singler,Kyle,Singler,202713
Charlie Villanueva,Charlie,Villanueva,101111
Jonas Jerebko,Jonas,Jerebko,201973
Peyton Siva,Peyton,Siva,203491
Josh Harrellson,Josh,Harrellson,202725
Bismack Biyombo,Bismack,Biyombo,202687
Jannero Pargo,Jannero,Pargo,2457
DJ White,DJ,White,201591
Gerald Henderson,Gerald,Henderson,201945
Josh McRoberts,Josh,McRoberts,201177
Gary Neal,Gary,Neal,202390
Luke Ridnour,Luke,Ridnour,2557
Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,203077
Kemba Walker,Kemba,Walker,202689
Al Jefferson,Al,Jefferson,2744
Brendan Haywood,Brendan,Haywood,2217
Cody Zeller,Cody,Zeller,203469
Anthony Tolliver,Anthony,Tolliver,201229
Jeffery Taylor,Jeffery,Taylor,203106
Chris Douglas-Roberts,Chris,Douglas-Roberts,201604
James Young,James,Young,203923
Marcus Smart,Marcus,Smart,203935
Joe Harris,Joe,Harris,203925
Doug McDermott,Doug,McDermott,203926
Cameron Bairstow,Cameron,Bairstow,203946
Nikola Mirotic,Nikola,Mirotic,202703
Dwight Powell,Dwight,Powell,203939
Erick Green,Erick,Green,203475
Gary Harris,Gary,Harris,203914
Jusuf Nurkic,Jusuf,Nurkic,203994
Joffrey Lauvergne,Joffrey,Lauvergne,203530
Justin Holiday,Justin,Holiday,203200
James Michael McAdoo,James Michael,McAdoo,203949
Nick Johnson,Nick,Johnson,203910
Joey Dorsey,Joey,Dorsey,201595
Clint Capela,Clint,Capela,203991
Kostas Papanikolaou,Kostas,Papanikolaou,203123
KJ McDaniels,KJ,McDaniels,203909
Lester Hudson,Lester,Hudson,201991
C.J. Wilcox,C.J.,Wilcox,203912
Dahntay Jones,Dahntay,Jones,2563
Jordan Clarkson,Jordan,Clarkson,203903
Vander Blue,Vander,Blue,203505
Jabari Brown,Jabari,Brown,203913
Tarik Black,Tarik,Black,204028
Julius Randle,Julius,Randle,203944
Henry Walker,Henry,Walker,201611
Tyler Johnson,Tyler,Johnson,204020
Zoran Dragic,Zoran,Dragic,204054
Shabazz Napier,Shabazz,Napier,203894
Hassan Whiteside,Hassan,Whiteside,202355
James Ennis III,James,Ennis III,203516
Johnny O'Bryant III,Johnny,O'Bryant III,203948
Tyler Ennis,Tyler,Ennis,203898
Jabari Parker,Jabari,Parker,203953
Damien Inglis,Damien,Inglis,203996
Adreian Payne,Adreian,Payne,203940
Lorenzo Brown,Lorenzo,Brown,203485
Zach LaVine,Zach,LaVine,203897
Andrew Wiggins,Andrew,Wiggins,203952
Arinze Onuaku,Arinze,Onuaku,202620
Jerome Jordan,Jerome,Jordan,202366
Darius Morris,Darius,Morris,202721
Cory Jefferson,Cory,Jefferson,203928
Markel Brown,Markel,Brown,203900
Bojan Bogdanovic,Bojan,Bogdanovic,202711
Earl Clark,Earl,Clark,201947
Langston Galloway,Langston,Galloway,204038
Travis Wear,Travis,Wear,204037
Cleanthony Early,Cleanthony,Early,203921
Lance Thomas,Lance,Thomas,202498
Aaron Gordon,Aaron,Gordon,203932
Elfrid Payton,Elfrid,Payton,203901
Ben Gordon,Ben,Gordon,2732
Devyn Marble,Devyn,Marble,203906
Damjan Rudez,Damjan,Rudez,204014
Shayne Whittington,Shayne,Whittington,203963
Glenn Robinson III,Glenn,Robinson III,203922
JaKarr Sampson,JaKarr,Sampson,203960
Furkan Aldemir,Furkan,Aldemir,203128
Joel Embiid,Joel,Embiid,203954
Jerami Grant,Jerami,Grant,203924
Jerel McNeal,Jerel,McNeal,202077
T.J. Warren,T.J.,Warren,203933
Earl Barron,Earl,Barron,2853
Tim Frazier,Tim,Frazier,204025
David Stockton,David,Stockton,204065
Nik Stauskas,Nik,Stauskas,203917
Eric Moreland,Eric,Moreland,203961
Kyle Anderson,Kyle,Anderson,203937
Reggie Williams,Reggie,Williams,202130
Mitch McGary,Mitch,McGary,203956
Bruno Caboclo,Bruno,Caboclo,203998
Greg Stiemsma,Greg,Stiemsma,201880
Lucas Nogueira,Lucas,Nogueira,203512
Joe Ingles,Joe,Ingles,204060
Rodney Hood,Rodney,Hood,203918
Bryce Cotton,Bryce,Cotton,203955
Dante Exum,Dante,Exum,203957
Elijah Millsap,Elijah,Millsap,202407
Jack Cooley,Jack,Cooley,204022
JaMychal Green,JaMychal,Green,203210
Jarnell Stokes,Jarnell,Stokes,203950
Russ Smith,Russ,Smith,203893
Jordan Adams,Jordan,Adams,203919
Shawne Williams,Shawne,Williams,200761
Spencer Dinwiddie,Spencer,Dinwiddie,203915
Noah Vonleh,Noah,Vonleh,203943
PJ Hairston,PJ,Hairston,203798
Lamar Patterson,Lamar,Patterson,203934
Edy Tavares,Edy,Tavares,204002
Terry Rozier,Terry,Rozier,1626179
RJ Hunter,RJ,Hunter,1626154
John Holland,John,Holland,204066
Jordan Mickey,Jordan,Mickey,1626175
Jordan McRae,Jordan,McRae,203895
Sasha Kaun,Sasha,Kaun,201619
Bobby Portis,Bobby,Portis,1626171
Cristiano Felicio,Cristiano,Felicio,1626245
Justin Anderson,Justin,Anderson,1626147
Salah Mejri,Salah,Mejri,1626257
Emmanuel Mudiay,Emmanuel,Mudiay,1626144
Axel Toupane,Axel,Toupane,1626253
Nikola Jokic,Nikola,Jokic,203999
Kevon Looney,Kevon,Looney,1626172
Andrew Goudelock,Andrew,Goudelock,202726
Sam Dekker,Sam,Dekker,1626155
Montrezl Harrell,Montrezl,Harrell,1626149
Branden Dawson,Branden,Dawson,1626183
D'Angelo Russell,D'Angelo,Russell,1626156
Anthony Brown,Anthony,Brown,1626148
Larry Nance Jr.,Larry,Nance Jr.,1626204
Marcelo Huertas,Marcelo,Huertas,1626273
Metta World Peace,Metta,World Peace,1897
Josh Richardson,Josh,Richardson,1626196
Briante Weber,Briante,Weber,1627362
Justise Winslow,Justise,Winslow,1626159
Rashad Vaughn,Rashad,Vaughn,1626173
Tyus Jones,Tyus,Jones,1626145
Karl-Anthony Towns,Karl-Anthony,Towns,1626157
Nemanja Bjelica,Nemanja,Bjelica,202357
Chris McCullough,Chris,McCullough,1626191
Sean Kilpatrick,Sean,Kilpatrick,203930
Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,1626178
Kristaps Porzingis,Kristaps,Porzingis,204001
Jerian Grant,Jerian,Grant,1626170
Sasha Vujacic,Sasha,Vujacic,2756
Mario Hezonja,Mario,Hezonja,1626209
Joe Young,Joe,Young,1626202
Rakeem Christmas,Rakeem,Christmas,1626176
Myles Turner,Myles,Turner,1626167
Jahlil Okafor,Jahlil,Okafor,1626143
T.J. McConnell,T.J.,McConnell,204456
Richaun Holmes,Richaun,Holmes,1626158
Christian Wood,Christian,Wood,1626174
Devin Booker,Devin,Booker,1626164
Alan Williams,Alan,Williams,1626210
Pat Connaughton,Pat,Connaughton,1626192
Cliff Alexander,Cliff,Alexander,1626146
Luis Montero,Luis,Montero,1626242
Willie Cauley-Stein,Willie,Cauley-Stein,1626161
Duje Dukan,Duje,Dukan,1626251
Seth Curry,Seth,Curry,203552
Jonathon Simmons,Jonathon,Simmons,203613
Boban Marjanovic,Boban,Marjanovic,1626246
Cameron Payne,Cameron,Payne,1626166
Josh Huestis,Josh,Huestis,203962
Norman Powell,Norman,Powell,1626181
Delon Wright,Delon,Wright,1626153
Tibor Pleiss,Tibor,Pleiss,202353
Raul Neto,Raul,Neto,203526
Trey Lyles,Trey,Lyles,1626168
Jarell Martin,Jarell,Martin,1626185
Xavier Munford,Xavier,Munford,204098
Jarell Eddie,Jarell,Eddie,204067
Kelly Oubre Jr.,Kelly,Oubre Jr.,1626162
Darrun Hilliard,Darrun,Hilliard,1626199
Stanley Johnson,Stanley,Johnson,1626169
Aaron Harrison,Aaron,Harrison,1626151
Frank Kaminsky,Frank,Kaminsky,1626163
Malcolm Delaney,Malcolm,Delaney,1627098
Taurean Prince,Taurean,Prince,1627752
DeAndre' Bembry,DeAndre',Bembry,1627761
Jaylen Brown,Jaylen,Brown,1627759
Demetrius Jackson,Demetrius,Jackson,1627743
Kay Felder,Kay,Felder,1627770
Cheick Diallo,Cheick,Diallo,1627767
Quinn Cook,Quinn,Cook,1626188
Paul Zipser,Paul,Zipser,1627835
Denzel Valentine,Denzel,Valentine,1627756
Manny Harris,Manny,Harris,202412
Nicolas Brussino,Nicolas,Brussino,1627852
Dorian Finney-Smith,Dorian,Finney-Smith,1627827
Yogi Ferrell,Yogi,Ferrell,1627812
DeAndre Liggins,DeAndre,Liggins,202732
Jarrod Uthoff,Jarrod,Uthoff,1627784
AJ Hammons,AJ,Hammons,1627773
Malik Beasley,Malik,Beasley,1627736
Jamal Murray,Jamal,Murray,1627750
Juancho Hernangomez,Juancho,Hernangomez,1627823
Patrick McCaw,Patrick,McCaw,1627775
Damian Jones,Damian,Jones,1627745
Bobby Brown,Bobby,Brown,201628
Troy Williams,Troy,Williams,1627786
Isaiah Taylor,Isaiah,Taylor,1627819
Chinanu Onuaku,Chinanu,Onuaku,1627778
Kyle Wiltjer,Kyle,Wiltjer,1627787
Diamond Stone,Diamond,Stone,1627754
Brice Johnson,Brice,Johnson,1627744
David Nwaba,David,Nwaba,1628021
Brandon Ingram,Brandon,Ingram,1627742
Ivica Zubac,Ivica,Zubac,1627826
Okaro White,Okaro,White,1627855
Rodney McGruder,Rodney,McGruder,203585
Gary Payton II,Gary,Payton II,1627780
Thon Maker,Thon,Maker,1627748
Malcolm Brogdon,Malcolm,Brogdon,1627763
Kris Dunn,Kris,Dunn,1627739
Isaiah Whitehead,Isaiah,Whitehead,1627785
Caris LeVert,Caris,LeVert,1627747
Maurice Ndour,Maurice,Ndour,1626254
Chasson Randle,Chasson,Randle,1626184
Willy Hernangomez,Willy,Hernangomez,1626195
Ron Baker,Ron,Baker,1627758
Marshall Plumlee,Marshall,Plumlee,1627850
