SEASON,PLAYER_ID,TEAM,START_DATE,END_DATE
2015-16,203798,CHA,2015-10-28,2016-02-10
2015-16,203798,MEM,2016-02-19,2016-04-13
2015-16,203895,PHX,2016-01-29,2016-02-19
2015-16,203895,CLE,2016-02-28,2016-04-13
2015-16,203930,DEN,2016-01-15,2016-02-01
2015-16,203930,BKN,2016-02-29,2016-04-13
2015-16,203950,MEM,2015-11-05,2015-11-07
2015-16,203950,MIA,2016-01-20,2016-02-09
2015-16,203955,PHX,2015-12-30,2016-01-02
2015-16,203955,MEM,2016-04-03,2016-04-13
2015-16,203960,PHI,2015-10-28,2016-02-06
2015-16,203960,DEN,2016-02-23,2016-04-13
2015-16,204025,POR,2015-10-30,2016-02-10
2015-16,204025,NOP,2016-03-16,2016-04-13
2015-16,1627362,MEM,2016-03-11,2016-03-19
2015-16,1627362,MIA,2016-04-10,2016-04-10
2016-17,2399,CLE,2016-10-25,2016-12-29
2016-17,2399,ATL,2017-01-13,2017-04-12
2016-17,2440,SAC,2016-10-26,2017-02-15
2016-17,2440,GSW,2017-03-02,2017-04-08
2016-17,2594,ATL,2016-10-27,2017-01-04
2016-17,2594,CLE,2017-01-10,2017-04-12
2016-17,101106,DAL,2016-10-26,2017-02-15
2016-17,101106,CLE,2017-03-06,2017-03-06
2016-17,101114,DAL,2016-10-26,2017-02-15
2016-17,101114,CLE,2017-03-01,2017-04-12
2016-17,101141,OKC,2016-10-26,2016-10-30
2016-17,101141,PHI,2016-11-02,2017-02-15
2016-17,101141,ATL,2017-02-24,2017-04-12
2016-17,101150,LAL,2016-10-26,2017-02-15
2016-17,101150,HOU,2017-02-23,2017-04-12
2016-17,101181,LAL,2016-10-30,2017-02-08
2016-17,101181,ATL,2017-03-08,2017-04-12
2016-17,200782,PHX,2016-10-26,2017-02-15
2016-17,200782,TOR,2017-02-24,2017-04-12
2016-17,201147,HOU,2016-10-26,2017-02-15
2016-17,201147,LAL,2017-02-24,2017-04-12
2016-17,201150,CHA,2016-10-26,2017-02-01
2016-17,201150,MIL,2017-03-03,2017-04-12
2016-17,201579,CHA,2016-10-26,2017-01-31
2016-17,201579,DEN,2017-02-28,2017-04-09
2016-17,201586,ORL,2016-10-26,2017-02-13
2016-17,201586,TOR,2017-02-24,2017-04-09
2016-17,201627,OKC,2016-10-30,2017-02-15
2016-17,201627,CHI,2017-02-28,2017-04-12
2016-17,201936,NOP,2016-12-15,2017-02-15
2016-17,201936,SAC,2017-02-23,2017-04-07
2016-17,201943,NYK,2016-10-25,2017-02-25
2016-17,201943,WAS,2017-03-03,2017-04-12
2016-17,201956,SAC,2016-10-26,2017-01-13
2016-17,201956,NOP,2017-02-23,2017-02-23
2016-17,201956,MIN,2017-03-21,2017-04-12
2016-17,201959,CHI,2016-10-27,2017-02-16
2016-17,201959,OKC,2017-02-24,2017-04-12
2016-17,202326,SAC,2016-10-26,2017-02-15
2016-17,202326,NOP,2017-02-23,2017-04-04
2016-17,202362,NOP,2016-10-26,2016-11-04
2016-17,202362,MIN,2017-02-08,2017-03-15
2016-17,202362,IND,2017-04-02,2017-04-12
2016-17,202682,MIA,2016-11-07,2017-02-04
2016-17,202682,CLE,2017-02-09,2017-04-12
2016-17,202711,BKN,2016-10-26,2017-02-15
2016-17,202711,WAS,2017-02-24,2017-04-12
2016-17,202732,CLE,2016-10-25,2017-04-07
2016-17,202732,DAL,2017-04-12,2017-04-12
2016-17,203082,TOR,2016-10-26,2017-02-12
2016-17,203082,ORL,2017-02-23,2017-04-12
2016-17,203093,NOP,2016-10-26,2017-02-08
2016-17,203093,MIL,2017-03-13,2017-03-26
2016-17,203094,WAS,2016-10-27,2017-02-13
2016-17,203094,BKN,2017-03-03,2017-04-12
2016-17,203101,MIL,2016-10-26,2017-01-27
2016-17,203101,CHA,2017-02-04,2017-04-11
2016-17,203112,DAL,2016-10-26,2016-11-14
2016-17,203112,BKN,2017-01-10,2017-04-08
2016-17,203138,PHI,2016-10-26,2017-01-03
2016-17,203138,NOP,2017-02-23,2017-03-11
2016-17,203457,PHI,2016-12-11,2017-02-15
2016-17,203457,DAL,2017-02-25,2017-04-12
2016-17,203462,NOP,2016-11-12,2016-11-16
2016-17,203462,BKN,2017-03-19,2017-04-12
2016-17,203486,POR,2016-10-25,2017-02-09
2016-17,203486,DEN,2017-02-15,2017-04-12
2016-17,203530,OKC,2016-10-28,2017-02-15
2016-17,203530,CHI,2017-02-25,2017-04-12
2016-17,203898,HOU,2016-10-26,2017-02-11
2016-17,203898,LAL,2017-02-26,2017-04-12
2016-17,203909,HOU,2016-10-26,2017-02-11
2016-17,203909,BKN,2017-02-25,2017-04-12
2016-17,203924,PHI,2016-10-26,2016-10-29
2016-17,203924,OKC,2016-11-02,2017-04-12
2016-17,203926,CHI,2016-10-27,2017-02-16
2016-17,203926,OKC,2017-02-24,2017-04-07
2016-17,203948,DEN,2017-02-01,2017-02-15
2016-17,203948,CHA,2017-03-02,2017-03-08
2016-17,203994,DEN,2016-10-26,2017-02-10
2016-17,203994,POR,2017-02-15,2017-03-30
2016-17,204002,ATL,2016-10-29,2016-10-29
2016-17,204002,CLE,2017-04-12,2017-04-12
2016-17,204038,NOP,2016-10-26,2017-02-15
2016-17,204038,SAC,2017-02-25,2017-04-12
2016-17,1626147,DAL,2016-10-26,2017-02-15
2016-17,1626147,PHI,2017-02-25,2017-04-12
2016-17,1626148,NOP,2016-11-22,2016-12-08
2016-17,1626148,ORL,2017-01-22,2017-01-27
2016-17,1626166,OKC,2017-01-07,2017-02-15
2016-17,1626166,CHI,2017-02-25,2017-04-06
2016-17,1626184,PHI,2017-01-14,2017-02-06
2016-17,1626184,NYK,2017-03-01,2017-04-12
2016-17,1626188,DAL,2017-02-27,2017-03-07
2016-17,1626188,NOP,2017-03-19,2017-04-12
2016-17,1626191,BKN,2016-10-26,2017-02-13
2016-17,1626191,WAS,2017-03-01,2017-04-12
2016-17,1626253,MIL,2017-03-01,2017-03-03
2016-17,1626253,NOP,2017-04-11,2017-04-12
2016-17,1627362,GSW,2017-02-08,2017-02-25
2016-17,1627362,CHA,2017-03-02,2017-04-11
2016-17,1627741,NOP,2016-10-26,2017-02-15
2016-17,1627741,SAC,2017-02-23,2017-04-12
2016-17,1627782,NOP,2017-03-14,2017-03-17
2016-17,1627782,MEM,2017-03-18,2017-04-12
2016-17,1627786,MEM,2016-10-29,2016-12-21
2016-17,1627786,HOU,2017-04-02,2017-04-12
2016-17,1627812,BKN,2016-11-09,2016-12-01
2016-17,1627812,DAL,2017-01-29,2017-04-12
2017-18,2207,UTA,2017-10-18,2018-02-07
2017-18,2207,HOU,2018-02-14,2018-04-11
2017-18,2548,CLE,2017-10-17,2018-02-06
2017-18,2548,MIA,2018-02-09,2018-04-11
2017-18,2734,DAL,2017-10-18,2018-02-05
2017-18,2734,DEN,2018-02-10,2018-04-11
2017-18,2749,NOP,2017-10-22,2018-01-30
2017-18,2749,DET,2018-02-11,2018-03-13
2017-18,101112,CLE,2017-10-20,2018-02-07
2017-18,101112,LAL,2018-02-14,2018-04-10
2017-18,101141,ATL,2017-10-18,2018-02-13
2017-18,101141,PHI,2018-03-01,2018-04-11
2017-18,201147,LAL,2017-10-19,2018-02-24
2017-18,201147,OKC,2018-03-03,2018-04-11
2017-18,201148,MEM,2017-10-18,2018-02-06
2017-18,201148,HOU,2018-02-25,2018-02-25
2017-18,201158,ATL,2017-10-18,2018-02-04
2017-18,201158,PHI,2018-02-14,2018-04-11
2017-18,201196,NYK,2017-10-19,2018-01-02
2017-18,201196,WAS,2018-03-06,2018-04-10
2017-18,201565,CLE,2017-10-17,2018-02-07
2017-18,201565,MIN,2018-03-11,2018-04-11
2017-18,201588,SAC,2017-10-18,2018-02-05
2017-18,201588,CLE,2018-02-11,2018-04-11
2017-18,201600,NOP,2017-11-24,2018-01-30
2017-18,201600,CHI,2018-04-06,2018-04-11
2017-18,201933,LAC,2017-10-19,2018-01-28
2017-18,201933,DET,2018-02-01,2018-03-26
2017-18,201967,NOP,2017-10-18,2018-02-03
2017-18,201967,BKN,2018-02-10,2018-04-11
2017-18,202328,MIL,2017-10-18,2017-10-26
2017-18,202328,PHX,2017-11-16,2018-01-29
2017-18,202328,BOS,2018-02-08,2018-04-11
2017-18,202337,ATL,2017-10-18,2018-02-06
2017-18,202337,MIA,2018-02-14,2018-04-06
2017-18,202339,PHX,2017-10-18,2017-10-21
2017-18,202339,MIL,2017-11-10,2018-04-11
2017-18,202340,DET,2017-10-18,2018-01-27
2017-18,202340,LAC,2018-02-03,2018-02-14
2017-18,202344,BKN,2017-10-18,2017-12-04
2017-18,202344,PHI,2017-12-09,2018-02-25
2017-18,202344,IND,2018-03-07,2018-04-10
2017-18,202699,DET,2017-10-18,2018-01-28
2017-18,202699,LAC,2018-02-03,2018-04-11
2017-18,202703,CHI,2017-12-08,2018-01-28
2017-18,202703,NOP,2018-02-03,2018-04-11
2017-18,202732,MIL,2017-10-21,2018-01-05
2017-18,202732,NOP,2018-01-10,2018-04-11
2017-18,202738,CLE,2018-01-02,2018-02-07
2017-18,202738,LAL,2018-02-10,2018-03-22
2017-18,203092,BKN,2017-10-27,2018-01-31
