"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Deron Williams","DAL",3,49,94,15,3,11,0.2727272727272727,3,7,0.42857142857142855,0.42857142857142855,0,2,4,0,9,0.3333333333333333,0.3333333333333333,0,0.3888888888888889,0.5069055555555555,0.4166666666666667,0.4166666666666667,0,1,0.09090909090909091,0,0,23.148148148148145
"Kevin Martin","SAS",5,49,93,22,4,12,0.3333333333333333,4,8,0.5,0.5,2,6,2,12,0,0.75,0.75,1,0.4,0.536905,0.5,0.5238095238095238,0,1,0.08333333333333333,0,0,26.470588235294116
"Jarell Martin","MEM",2,46,86,9,3,8,0.375,0,0,0,0,3,4,2,0,0,0.6666666666666666,0.6666666666666666,0,0,0.57405,0.375,0.4090909090909091,0,1,0.125,0,0,14.583333333333334
"Aron Baynes","DET",4,44,81,10,4,9,0.4444444444444444,0,0,0,0,2,4,4,0,0,0.5,1,0,0,0.5860222222222222,0.4444444444444444,0.5,4,2,0.2222222222222222,0,0,14.606741573033707
"Clint Capela","HOU",5,43,95,8,3,9,0.3333333333333333,0,0,0,0,2,6,0,0,0,1,1,0,0,0.5211777777777777,0.3333333333333333,0.36363636363636365,0,1,0.1111111111111111,0,0,12.962962962962962
"Steve Blake","DET",4,43,76,4,0,3,0,1,2,0.5,0.5,1,0,0,3,0,0,0,1,0.4,0.48694,0.3,0.3333333333333333,0,0,0,0,0,13.253012048192772
"Boban Marjanovic","SAS",7,42,81,24,8,12,0.6666666666666666,0,0,0,0,8,14,2,0,0,0.875,0.875,0,0,0.5401833333333333,0.6666666666666666,0.75,0,0,0,0,0,21.34831460674157
"Delon Wright","TOR",9,41,83,14,3,9,0.3333333333333333,0,1,0,0,8,2,4,0,0,0.3333333333333333,0.3333333333333333,0,0.1,0.605685,0.3,0.4375,0,0,0,0,0,18.947368421052634
"RJ Hunter","BOS",5,41,82,5,1,4,0.25,1,5,0.2,0.2,0,0,2,3,0,0,0,1,0.5555555555555556,0.5183277777777778,0.2777777777777778,0.2777777777777778,0,0,0,2,0.4,10.638297872340425
"Tyler Zeller","BOS",3,38,77,18,7,15,0.4666666666666667,0,0,0,0,4,12,2,0,0,0.8571428571428571,1,0,0,0.5334133333333334,0.4666666666666667,0.5,2,0,0,0,0,21.50537634408602
"James Michael McAdoo","GSW",8,38,79,5,2,4,0.5,0,0,0,0,1,4,0,0,0,1,1,0,0,0.625375,0.5,0.4166666666666667,0,2,0.5,0,0,8.333333333333334
"Josh Smith","HOU",4,38,80,16,2,5,0.4,4,8,0.5,0.5,0,0,4,12,0,0,0,1,0.6153846153846154,0.4973769230769231,0.6153846153846154,0.5714285714285714,0,0,0,0,0,21.34831460674157
