"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Trae Young","ATL",16,603,1222,461,105,215,0.4883720930232558,45,144,0.3125,0.3125,116,22,188,30,105,0.10476190476190476,0.10576923076923077,0.2222222222222222,0.4011142061281337,0.484757323943662,0.4805013927576602,0.5493975903614458,2,21,0.09767441860465116,2,0.013888888888888888,34.96350364963504
"Bogdan Bogdanovic","ATL",18,598,1191,253,50,106,0.4716981132075472,47,143,0.32867132867132864,0.33098591549295775,12,46,54,108,33,0.46,0.5,0.7659574468085106,0.5742971887550201,0.5232219758064516,0.4839357429718876,0.49607843137254903,8,9,0.08490566037735849,0,0,21.013412816691506
"John Collins","ATL",18,576,1156,250,80,126,0.6349206349206349,20,56,0.35714285714285715,0.35714285714285715,30,110,50,60,0,0.6875,0.8333333333333334,1,0.3076923076923077,0.5464527472527473,0.6043956043956044,0.6443298969072165,28,7,0.05555555555555555,1,0.017857142857142856,16.743827160493826
"Clint Capela","ATL",18,569,1131,181,82,136,0.6029411764705882,0,0,0,0,17,128,36,0,0,0.7804878048780488,0.9411764705882353,0,0,0.6486558823529412,0.6029411764705882,0.5838709677419355,28,11,0.08088235294117647,0,0,13.665086887835702
"Kevin Huerter","ATL",18,558,1125,199,44,85,0.5176470588235295,33,95,0.3473684210526316,0.3473684210526316,12,22,66,87,12,0.25,0.2558139534883721,0.8787878787878788,0.5277777777777778,0.4871161111111111,0.5194444444444445,0.5349462365591398,2,4,0.047058823529411764,1,0.010526315789473684,16.23119556611243
"Nicolas Batum","LAC",19,555,1069,153,25,37,0.6756756756756757,28,72,0.3888888888888889,0.3888888888888889,19,38,12,81,3,0.76,0.8260869565217391,0.9642857142857143,0.6605504587155964,0.5566311926605505,0.6146788990825688,0.6375,4,1,0.02702702702702703,1,0.013888888888888888,10.69609507640068
"Pat Connaughton","MIL",23,546,1078,158,18,24,0.75,37,95,0.3894736842105263,0.3894736842105263,11,24,12,111,0,0.6666666666666666,0.9230769230769231,1,0.7983193277310925,0.5585256302521009,0.6176470588235294,0.6370967741935484,10,3,0.125,0,0,10.785091197462332
"Kevin Durant","BKN",12,485,965,411,112,200,0.56,33,82,0.4024390243902439,0.4074074074074074,88,78,146,69,30,0.3482142857142857,0.35135135135135137,0.696969696969697,0.2907801418439716,0.4723232142857142,0.5726950354609929,0.6227272727272727,2,17,0.085,1,0.012195121951219513,35.09933774834437
"Cameron Johnson","PHX",21,443,873,172,22,36,0.6111111111111112,33,74,0.44594594594594594,0.44594594594594594,29,32,12,99,0,0.7272727272727273,0.8421052631578947,1,0.6727272727272727,0.5447304545454545,0.65,0.6991869918699187,6,2,0.05555555555555555,1,0.013513513513513514,14.300518134715025
"Danilo Gallinari","ATL",18,442,894,231,40,90,0.4444444444444444,34,84,0.40476190476190477,0.40476190476190477,49,28,52,93,9,0.35,0.358974358974359,0.9117647058823529,0.4827586206896552,0.47686982758620694,0.5229885057471264,0.583756345177665,2,3,0.03333333333333333,1,0.011904761904761904,21.157684630738522
"Tobias Harris","PHI",12,438,904,261,89,172,0.5174418604651163,16,43,0.37209302325581395,0.37209302325581395,35,72,106,39,9,0.4044943820224719,0.4186046511627907,0.8125,0.2,0.49595627906976747,0.5255813953488372,0.5560344827586207,6,14,0.08139534883720931,0,0,24.606299212598426
"Joe Harris","BKN",12,434,863,134,16,41,0.3902439024390244,33,82,0.4024390243902439,0.4024390243902439,3,28,4,99,0,0.875,0.9333333333333333,1,0.6666666666666666,0.5434524390243902,0.532520325203252,0.536,2,8,0.1951219512195122,0,0,14.09043112513144
"Kawhi Leonard","LAC",11,432,841,334,98,152,0.6447368421052632,24,61,0.39344262295081966,0.39344262295081966,66,72,124,48,24,0.3673469387755102,0.3870967741935484,0.6666666666666666,0.2863849765258216,0.5040969483568075,0.6291079812206573,0.6762295081967213,10,6,0.039473684210526314,0,0,29.067245119305856
"Cameron Payne","PHX",22,418,822,205,57,124,0.4596774193548387,25,69,0.36231884057971014,0.36231884057971014,16,20,94,57,18,0.17543859649122806,0.17857142857142858,0.76,0.35751295336787564,0.5075240932642487,0.4896373056994819,0.5125,2,14,0.11290322580645161,1,0.014492753623188406,24.75138121546961
"Royce O'Neale","UTA",11,404,803,124,15,25,0.6,28,60,0.4666666666666667,0.4666666666666667,10,16,14,84,0,0.5333333333333333,0.6666666666666666,1,0.7058823529411765,0.552974705882353,0.6705882352941176,0.6888888888888889,6,2,0.08,0,0,10.937499999999998
"Ben Simmons","PHI",12,402,844,143,59,94,0.6276595744680851,0,1,0,0,25,60,58,0,0,0.5084745762711864,0.5555555555555556,0,0.010526315789473684,0.5981910526315789,0.6210526315789474,0.55859375,10,3,0.031914893617021274,0,0,16.64876476906552
"Bojan Bogdanovic","UTA",11,390,782,199,29,61,0.47540983606557374,35,76,0.4605263157894737,0.4605263157894737,36,34,24,93,12,0.5862068965517241,0.5862068965517241,0.8857142857142857,0.5547445255474452,0.5049,0.5948905109489051,0.6346153846153846,0,5,0.08196721311475409,0,0,20.480549199084667
"Seth Curry","PHI",12,381,797,226,44,66,0.6666666666666666,41,81,0.5061728395061729,0.5061728395061729,15,60,28,102,21,0.6818181818181818,0.6976744186046512,0.8292682926829268,0.5510204081632653,0.5058989795918367,0.717687074829932,0.7290322580645161,2,3,0.045454545454545456,0,0,18.602029312288614
"Terance Mann","LAC",19,378,717,144,38,67,0.5671641791044776,16,37,0.43243243243243246,0.4444444444444444,20,30,46,48,0,0.39473684210526316,0.46875,1,0.3557692307692308,0.5573432038834952,0.5961538461538461,0.6260869565217392,12,4,0.05970149253731343,0,0,14.987405541561712
"Rudy Gobert","UTA",11,376,750,162,60,80,0.75,0,1,0,0,42,80,40,0,0,0.6666666666666666,0.9523809523809523,0,0.012345679012345678,0.62482125,0.7407407407407407,0.7232142857142857,36,6,0.075,0,0,15.320665083135392
"Bobby Portis","MIL",20,366,739,176,52,99,0.5252525252525253,18,52,0.34615384615384615,0.34615384615384615,18,60,44,54,0,0.5769230769230769,0.75,1,0.3443708609271523,0.5204877483443708,0.5231788079470199,0.5432098765432098,24,11,0.1111111111111111,1,0.019230769230769232,19.296254256526673
"Joel Embiid","PHI",11,357,747,309,85,156,0.5448717948717948,16,41,0.3902439024390244,0.3902439024390244,91,60,110,48,0,0.35294117647058826,0.379746835443038,1,0.20812182741116753,0.48233375634517767,0.5532994923857868,0.6209677419354839,12,6,0.038461538461538464,0,0,35.49571603427172
"Donovan Mitchell","UTA",10,346,687,323,55,120,0.4583333333333333,50,115,0.43478260869565216,0.43478260869565216,63,4,106,33,117,0.03636363636363636,0.03636363636363636,0.22,0.48936170212765956,0.4903602127659575,0.5531914893617021,0.6075471698113207,0,14,0.11666666666666667,3,0.02608695652173913,37.77490297542044
"Nikola Jokic","DEN",10,345,692,298,96,175,0.5485714285714286,20,53,0.37735849056603776,0.37735849056603776,46,94,98,57,3,0.4895833333333333,0.5875,0.95,0.2324561403508772,0.4969627753303965,0.5526315789473685,0.5936254980079682,32,5,0.02857142857142857,0,0,34.63476070528967
"Michael Porter Jr.","DEN",10,332,653,174,35,62,0.5645161290322581,29,73,0.3972602739726027,0.3972602739726027,17,40,30,75,12,0.5714285714285714,0.6451612903225806,0.8620689655172413,0.5407407407407407,0.5212122222222223,0.5814814814814815,0.6083916083916084,8,9,0.14516129032258066,0,0,21.2283044058745
"Kyrie Irving","BKN",9,325,661,204,53,98,0.5408163265306123,24,65,0.36923076923076925,0.36923076923076925,26,32,74,51,21,0.3018867924528302,0.32653061224489793,0.7083333333333334,0.3987730061349693,0.5149426380368098,0.5460122699386503,0.58,8,7,0.07142857142857142,1,0.015384615384615385,25.340599455040874
"Patrick Beverley","LAC",17,323,623,83,16,31,0.5161290322580645,13,37,0.35135135135135137,0.35135135135135137,12,14,18,39,0,0.4375,0.4375,1,0.5441176470588235,0.5104286764705882,0.5220588235294118,0.5684931506849316,0,2,0.06451612903225806,1,0.02702702702702703,11.047345767575322
"James Harden","BKN",9,322,623,182,27,42,0.6428571428571429,24,66,0.36363636363636365,0.36923076923076925,56,12,42,6,66,0.2222222222222222,0.23076923076923078,0.08333333333333333,0.6111111111111112,0.5119023584905661,0.5833333333333334,0.6842105263157895,2,6,0.14285714285714285,1,0.015151515151515152,23.24561403508772
"Blake Griffin","BKN",12,318,632,108,28,43,0.6511627906976745,14,36,0.3888888888888889,0.3888888888888889,10,34,22,33,9,0.6071428571428571,0.7391304347826086,0.7857142857142857,0.45569620253164556,0.6091810126582279,0.620253164556962,0.6352941176470588,10,3,0.06976744186046512,0,0,13.024602026049203
"Joe Ingles","UTA",11,306,620,112,15,21,0.7142857142857143,24,58,0.41379310344827586,0.42105263157894735,10,8,22,51,21,0.26666666666666666,0.26666666666666666,0.7083333333333334,0.7341772151898734,0.5241615384615385,0.6455696202531646,0.6588235294117647,0,1,0.047619047619047616,0,0,13.702623906705538
"Austin Rivers","DEN",10,305,616,92,11,23,0.4782608695652174,19,46,0.41304347826086957,0.41304347826086957,13,6,16,45,12,0.2727272727272727,0.3,0.7894736842105263,0.6666666666666666,0.5281404411764706,0.572463768115942,0.5974025974025974,2,3,0.13043478260869565,0,0,12.303290414878397
"Ivica Zubac","LAC",17,301,576,107,34,57,0.5964912280701754,0,0,0,0,39,56,12,0,0,0.8235294117647058,1,0,0,0.5446842105263158,0.5964912280701754,0.66875,12,5,0.08771929824561403,0,0,14.24287856071964
"Aaron Gordon","DEN",10,299,603,111,34,76,0.4473684210526316,9,23,0.391304347826087,0.391304347826087,16,34,34,18,9,0.5,0.5862068965517241,0.6666666666666666,0.23232323232323232,0.5494979797979798,0.4797979797979798,0.5045454545454545,10,11,0.14473684210526316,0,0,17.997097242380264
"Jordan Clarkson","UTA",11,298,597,193,33,68,0.4852941176470588,34,97,0.35051546391752575,0.35051546391752575,25,12,54,54,48,0.18181818181818182,0.1935483870967742,0.5294117647058824,0.5878787878787879,0.502499393939394,0.509090909090909,0.5488505747126436,4,6,0.08823529411764706,3,0.030927835051546393,29.27191679049034
"Monte Morris","DEN",10,286,566,137,34,76,0.4473684210526316,16,40,0.4,0.41025641025641024,21,18,50,30,18,0.2647058823529412,0.2647058823529412,0.625,0.3448275862068966,0.5000817391304347,0.5,0.52734375,0,7,0.09210526315789473,0,0,20.833333333333332
"Luka Doncic","DAL",7,281,546,250,65,120,0.5416666666666666,31,76,0.40789473684210525,0.40789473684210525,27,12,118,6,87,0.09230769230769231,0.09523809523809523,0.06451612903225806,0.3877551020408163,0.4694612244897959,0.5688775510204082,0.573394495412844,4,5,0.041666666666666664,0,0,40
